DateYear;Semaine;ConfigStarted;ConfigCompleted;UniqueVisitor;UtileVisitor;Nombre_inscription;TTC_Gazole;Budget_displayBRAND;Budget_displayROI;PRESSE_InvestissementsEnEuros_QUOT_AUTO;PRESSE_InvestissementsEnEuros_NON_QUOT_AUTO;PRESSE_InvestissementsEnEuros_QUOT_NON_AUTO;PRESSE_InvestissementsEnEuros_NON_QUOT_NON_AUTO;Presse Totale Inv;Presse Totale quo Inv;Presse Totale nonquo Inv;RADIO_InvestissementsEnEuros;MOBILE_Volume_Achete;MOBILE_Net_Budget_LC;Investissement_Affichage;INTERNET_DISPLAY_InvestissementsEnEuros_BMW;PRESS INV BMW;RADIO_InvBMW;TV GRP BMW;TV INV BMW;Inv_aff_BMW;display_invMERCEDES;Press inv Mercedes;RADIO_InvMERCEDES;Investissement_Affichage_MERCEDES;TV INV MERCEDES;TV GRP MERCEDES;IsMondialAuto2014;IsOPO;IsPrimeAlaCasse;IsJourdelan;IsPentecôte;IsAsscention;IsPâcques;IsF?tedutravail;Is08Mais;Is14Juillet;Is15ao?t;IspremierNovembre;Is11Novembre;IsNoël
2014;9;18744;4270;26791;18243;43;1.3265;2715.51866743171;1615.45209402238;10 189;0;0;0;10 189;10189;0;4540;0;0;5576;65866;0;0;0;0;2718;8661;0;0;28550;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2014;10;17962;4089;26641;18271;35;1.3265;2623.37090767206;1560.63372976345;0;0;0;0;0;0;0;9210;0;0;5576;65866;25000;0;0;0;2718;8661;113;0;28550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;10;16495;3777;25278;16968;46;1.3265;2344.29810189372;1394.61434131795;0;0;0;0;0;0;0;13190;0;0;5576;65866;0;0;0;0;2718;8661;6535;0;28550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;10;15762;3678;24162;16418;45;1.3265;2575.39586729458;1532.09355422788;0;0;0;0;0;0;0;10310;0;0;5576;65866;2424;0;0;0;2718;8661;113;0;28550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;10;15045;3595;22795;15320;94;1.3265;2243.9152390838;1334.89694446293;0;38300;0;0;38 300;0;38300;11200;0;0;5576;65866;8876;0;0;0;2718;8661;113141;0;28550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;10;15450;3555;22896;14836;61;1.3265;2436.37879700194;1449.39280906176;6 080;29550;0;0;35 630;6080;29550;12600;0;0;5576;65866;27000;0;0;0;2718;8661;152258;0;28550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;10;16036;3645;22652;14883;49;1.3265;2373.52108001455;1411.99898380451;0;0;0;0;0;0;0;4280;0;0;5576;65866;14221;0;0;0;2718;8661;14701;0;28550;28400;221;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;10;17866;4033;25831;17133;36;1.3129;2177.91523038501;1295.63378139332;20 586;0;0;0;20 586;20586;0;5140;0;0;14001;65866;61000;0;0;0;11808;8661;3484;0;346256;147311;925;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;11;16521;3755;24784;16909;42;1.3129;2107.30244807765;1253.62649622482;11 771;3388;0;0;15 159;11771;3388;7700;0;0;14001;65866;17668;48071;0;0;11808;8661;264853;48071;346256;50391;371;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;11;16404;3590;24161;16341;73;1.3129;1796.98977853528;1069.0226274221;4 753;0;0;0;4 753;4753;0;10050;0;0;14001;65866;0;47186;0;0;11808;8661;47113;47186;346256;113108;867;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;11;16735;3714;24164;16368;51;1.3129;1757.52295130311;1045.54395667633;85 666;0;0;0;85 666;85666;0;17930;0;0;14001;65866;173807;54989;0;0;11808;8661;362703;54989;346256;232562;1317;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;11;18358;4105;26376;18082;34;1.3129;1741.25710387736;1035.86746371014;0;0;0;0;0;0;0;18430;0;0;14001;65866;19244;54251;0;0;11808;8661;423965;54251;346256;142269;975;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2014;11;20953;4736;30803;21708;49;1.3129;1966.42600200115;1169.81961522557;53 522;12800;0;0;66 322;53522;12800;16150;0;0;14001;65866;60744;55100;0;0;11808;8661;280167;55100;346256;47709;297;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;11;22061;5023;28556;19830;51;1.3129;1921.60246061908;1143.15425488184;18 853;0;0;0;18 853;18853;0;3420;0;0;14001;65866;44679;35372;0;0;11808;8661;240075;35372;346256;227105;1487;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2014;11;21494;5014;28532;19573;37;1.3004;1875.14003602344;1115.51392892623;2 190;0;0;0;2 190;2190;0;2720;0;0;126736;65866;22951;19432;0;0;180177;8661;220278;19432;107108;209740;1119;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2014;12;19642;4491;26925;18093;48;1.3004;1808.4847962205;1075.86097127631;3 160;3388;0;0;6 548;3160;3388;7340;0;0;126736;65866;61730;22301;0;0;180177;8661;115800;22301;107108;50532;302;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;12;18205;4292;25543;17280;57;1.3004;1222.92651569131;727.514498170426;9 506;0;0;0;9 506;9506;0;2490;0;0;126736;65866;1976;6370;0;0;180177;8661;283015;6370;107108;157923;1021;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;12;17879;4108;24188;16470;55;1.3004;1404.77145130638;835.693383313043;32 000;0;0;0;32 000;32000;0;10300;0;0;126736;65866;79157;9540;0;0;180177;8661;252135;9540;107108;67914;444;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;12;16176;3687;23650;15414;54;1.3004;1556.18808041439;925.770580533602;0;19900;0;0;19 900;0;19900;17760;0;0;126736;65866;153538;4860;0;0;180177;8661;204236;4860;107108;56106;623;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014;12;17845;4001;24070;15972;64;1.3004;1757.94700987676;1045.79622756624;8 287;12800;0;0;21 087;8287;12800;17790;0;0;126736;65866;141509;9705;0;0;180177;8661;291397;9705;107108;158148;881;0;0;0;0;0;0;0;0;0;0;0;0;0;0
